%count	x
5	10.178407	-57.579165	23.356818	-9.791110	48.715426	81.595169	77.727878	-2.520614	92.686695	27.102068	
10	51.361566	4.348468	21.847863	-47.769347	-68.055092	-2.301117	37.734944	-86.856413	-26.443743	-65.162333	
15	51.361566	4.348468	21.847863	-47.769347	-68.055092	-2.301117	37.734944	-86.856413	-26.443743	-65.162333	
20	51.361566	4.348468	21.847863	-47.769347	-68.055092	-2.301117	37.734944	-86.856413	-26.443743	-65.162333	
25	51.361566	4.348468	21.847863	-47.769347	-68.055092	-2.301117	37.734944	-86.856413	-26.443743	-65.162333	
30	-37.821519	54.296321	33.466522	-90.009877	-96.298030	-5.894724	-40.160348	-92.313317	6.209872	13.066126	
35	-5.091524	34.010404	-15.381252	-72.847253	-30.006201	-8.326325	56.279684	21.228746	98.597509	50.332681	
40	-5.091524	34.010404	-15.381252	-72.847253	-30.006201	-8.326325	56.279684	21.228746	98.597509	50.332681	
45	-5.091524	34.010404	-15.381252	-72.847253	-30.006201	-8.326325	56.279684	21.228746	98.597509	50.332681	
50	-5.091524	34.010404	-15.381252	-72.847253	-30.006201	-8.326325	56.279684	21.228746	98.597509	50.332681	
100	11.684242	0.173726	-43.207788	-68.014841	-71.442352	-30.328769	-2.580734	-72.043589	61.567142	40.815363	
150	11.684242	0.173726	-43.207788	-68.014841	-71.442352	-30.328769	-2.580734	-72.043589	61.567142	40.815363	
200	11.684242	0.173726	-43.207788	-68.014841	-71.442352	-30.328769	-2.580734	-72.043589	61.567142	40.815363	
250	11.684242	0.173726	-43.207788	-68.014841	-71.442352	-30.328769	-2.580734	-72.043589	61.567142	40.815363	
300	11.684242	0.173726	-43.207788	-68.014841	-71.442352	-30.328769	-2.580734	-72.043589	61.567142	40.815363	
350	-3.664731	-66.410534	57.159287	-56.976655	-41.635003	-26.141002	-8.470542	-48.711946	51.589955	-9.386842	
400	-3.664731	-66.410534	57.159287	-56.976655	-41.635003	-26.141002	-8.470542	-48.711946	51.589955	-9.386842	
450	-3.664731	-66.410534	57.159287	-56.976655	-41.635003	-26.141002	-8.470542	-48.711946	51.589955	-9.386842	
500	64.862399	68.902454	19.336747	-86.073554	-36.626292	35.715913	99.427251	-70.557008	16.359816	26.946762	
