%% Statistics result of 10D
   % Func.	                Best	               Worst	              Median	                Mean	                 Std
         1	   3443250006.810790	  11613788130.481943	   7674551723.468513	   7991063503.470494	   2319153613.366221
         2	        25423.847814	      2090385.067796	        66018.952177	       192615.020310	       455459.461770
         3	          310.713504	          313.345023	          312.311985	          312.130955	            0.746195
         4	         1718.928010	         2830.827849	         2463.419637	         2448.775753	          272.089942
         5	          501.234517	          504.065969	          502.994822	          502.891877	            0.593111
         6	          603.097989	          605.930589	          604.899835	          604.715048	            0.932950
         7	          731.886258	          794.621744	          748.535786	          753.080287	           16.784833
         8	         2427.117420	        74879.400239	        16276.424930	        25892.305598	        21314.518556
         9	          903.966850	          904.398127	          904.205722	          904.172192	            0.133441
        10	        22801.463587	      7864967.069454	      1901015.725111	      2728689.426033	      2351195.341149
        11	         1109.935516	         1153.856069	         1127.636335	         1129.550668	           11.287071
        12	         1419.334508	         1774.783716	         1628.430277	         1601.129759	          102.736536
        13	         1684.713208	         2146.124756	         1800.634733	         1802.197698	           95.513032
        14	         1616.615098	         1655.598486	         1627.223404	         1628.179745	            9.040680
        15	         1920.148435	         2071.099758	         2005.566676	         2000.149078	           41.237252
