%count	x
5	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
10	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
15	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
20	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
25	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
30	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
35	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
40	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
45	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
50	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
100	93.476700	-29.179832	-70.508582	-92.732409	-90.297797	-95.589889	54.512274	-27.185267	-38.527562	93.400451	
150	-7.211465	74.760125	61.284250	32.164921	-79.014817	21.712782	47.792175	-29.686004	33.659838	-15.931626	
200	-7.211465	74.760125	61.284250	32.164921	-79.014817	21.712782	47.792175	-29.686004	33.659838	-15.931626	
250	-7.211465	74.760125	61.284250	32.164921	-79.014817	21.712782	47.792175	-29.686004	33.659838	-15.931626	
300	-7.211465	74.760125	61.284250	32.164921	-79.014817	21.712782	47.792175	-29.686004	33.659838	-15.931626	
350	-7.211465	74.760125	61.284250	32.164921	-79.014817	21.712782	47.792175	-29.686004	33.659838	-15.931626	
400	-7.211465	74.760125	61.284250	32.164921	-79.014817	21.712782	47.792175	-29.686004	33.659838	-15.931626	
450	-7.211465	74.760125	61.284250	32.164921	-79.014817	21.712782	47.792175	-29.686004	33.659838	-15.931626	
500	-7.211465	74.760125	61.284250	32.164921	-79.014817	21.712782	47.792175	-29.686004	33.659838	-15.931626	
